u_s,size_mm,flow_velocity,duty,low_flow_fraction,outcome
1.1152017269802954,0.9603426633989732,2.298904733549599,0.4,0.35,active
1.2549424521631372,0.9059646493712215,2.298904733549599,0.4,0.35,active
1.4711756215119225,0.7368949141137697,2.298904733549599,0.4,0.35,active
1.3336717109147924,0.5363665441630796,2.298904733549599,0.4,0.35,active
1.4482736402652374,0.464680933676937,2.298904733549599,0.4,0.35,active
1.263084016682372,0.705131341983877,2.298904733549599,0.4,0.35,active
1.137802443388683,0.6690221313113316,2.298904733549599,0.4,0.35,active
1.3339317716623151,0.5969643632491601,2.298904733549599,0.4,0.35,active
1.4539078420808351,0.45481743014557874,2.298904733549599,0.4,0.35,active
1.4820189168673132,0.8690466486547601,2.298904733549599,0.4,0.35,active
1.2370854280436552,0.6830847689600997,2.298904733549599,0.4,0.35,active
1.4493683429552862,0.740808271866301,2.298904733549599,0.4,0.35,active
1.509144214360185,0.6768103110032127,2.298904733549599,0.4,0.35,active
1.2751923140895216,0.5399850188803994,2.298904733549599,0.4,0.35,active
1.4492403527180215,0.397839095003898,2.298904733549599,0.4,0.35,active
1.454096248062384,0.44956840220926775,2.298904733549599,0.4,0.35,active
1.0794745990710155,0.6395324787634913,2.298904733549599,0.4,0.35,active
1.2192039671418102,0.8072195227759502,2.298904733549599,0.4,0.35,active
1.5762928269276226,0.8437955985176953,2.298904733549599,0.4,0.35,heavy
1.1929431597007616,0.631101280752209,2.298904733549599,0.4,0.35,active
1.5920111020491308,0.8586398202447334,2.298904733549599,0.4,0.35,heavy
1.4038995879075595,0.38133551800006404,2.298904733549599,0.4,0.35,active
1.2403650872074072,0.7043639580640593,2.298904733549599,0.4,0.35,active
1.2507075207136602,0.7704316361530943,2.298904733549599,0.4,0.35,active
1.3891168637483742,0.6507603647839775,2.298904733549599,0.4,0.35,active
1.7534173005348994,0.9288119302043341,2.298904733549599,0.4,0.35,heavy
1.4484378082833524,0.4669868006418002,2.298904733549599,0.4,0.35,active
1.2043144898751805,0.5237576962741408,2.298904733549599,0.4,0.35,active
1.457471895514764,0.9692403437331986,2.298904733549599,0.4,0.35,active
